Town	Market	District	Canton	PopTown14	PopAgglo14	AggloRegion
Aarau	h 1240-1250[6]	Aarau	AG	20,103	75,800	Aarau
Aarberg	h 1220-1225[7]	Aarberg	BE	3,200?		-
Aarburg	h ~1330[8]	Zofingen	AG	6,300?	97,200	Olten–Zofingen
Adliswil	-	Horgen	ZH	18,037	1,249,800	Zurich
Aesch (BL)[note 1]	-	Arlesheim	BL	10,220	521,200	Basel (CH)
Affoltern am Albis[note 2]	-	Affoltern	ZH	11,276	1,249,800	Zurich
Agno[note 2]	m Roman & Middle Age[9]	Lugano	TI	4,200?	150,500	Lugano (CH)
Aigle	m 1231[10]	Aigle	VD	9,703		-
Allschwil[note 2]	-	Arlesheim	BL	19,898	521,200	Basel (CH)
Altdorf (UR)[note 2]	m n.d., c. Late Middle Age[11]	-	UR	8,981		-
Altstätten	h[citation needed]	Rheintal	SG	11,075	56,300	Rheintal (CH)
Amriswil	-	Bischofszell	TG	12,619	24,900	Amriswil–Romanshorn
Appenzell	m[citation needed]	Appenzell	AI	5,500?		-
Arbon	h[citation needed]	Arbon	TG	14,012	53,400	Arbon–Rorschach
Arlesheim	-	Arlesheim	BL	9,073	521,200	Basel (CH)
Arth	-	Schwyz	SZ	10,924		-
Ascona	h[citation needed]	Locarno	TI	5,500?	55,400	Locarno (CH)
Aubonne	h[citation needed]	Aubonne	VD	2,600?	402,900	Lausanne
Avenches	h[citation needed]	Avenches	VD	2,500?		-
Baar	-	-	ZG	22,355	125,000	Zug
Baden	h[citation needed]	Baden	AG	18,522	108,100	Baden–Brugg
Basel	h[citation needed]	-	BS	165,566	521,200	Basel (CH)
Bassersdorf	-	Bülach	ZH	11,243	1,249,800	Zurich
Bellinzona	h[citation needed]	Bellinzona	TI	17,744	51,500	Bellinzona
Belp	-	Bern-Mittelland	BE	11,108	406,900	Bern
Bern	h[citation needed]	Bern-Mittelland	BE	127,525	406,900	Bern
Beromünster	m[citation needed]	Sursee	LU	2,300?		-
Biasca	m[citation needed]	Riviera	TI	6,100?		-
Biel/Bienne	h[citation needed]	Biel/Bienne	BE	52,351	103,600	Biel/Bienne
Binningen	-	Arlesheim	BL	14,817	521,200	Basel (CH)
Birsfelden	-	Arlesheim	BL	10,277	521,200	Basel (CH)
Bischofszell	h[citation needed]	Bischofszell	TG	5,500?		-
Boudry	h[citation needed]	Boudry	NE	5,000?	88,900	Neuchâtel
Bourg-Saint-Pierre	h[citation needed]	Entremont	VS	200?		-
Bremgarten (AG)	h[citation needed]	Bremgarten	AG	5,700?	1,249,800	Zurich
Brig-Glis	m[citation needed]	Brig	VS	12,728	46,400	Brig–Visp
